,Title,Domestic_Total_Gross,Distributor,Release_Date,Runtime,Production_Budget,MPAA_Rating,Genre
290,Linda Ronstadt: The Sound of My Voice,155243,Greenwich,"September 6, 2019",95,N/A,PG-13,Documentary
291,Peterloo,151971,Amazon Studios,"April 5, 2019",154,N/A,PG-13,Drama
292,TCM: Glory 30th Anniversary,150801,Fathom,"July 21, 2019",118,N/A,R,War
293,Little Woods,150010,Neon,"April 19, 2019",103,N/A,R,Drama
294,Trial by Fire,148504,Roadside Attractions,"May 17, 2019",127,N/A,R,Drama
295,Dogman,148225,Magnolia,"April 12, 2019",103,N/A,Unrated,Crime Drama
296,Framing John DeLorean,145625,IFC,"June 7, 2019",109,N/A,Unrated,Documentary
297,Hampstead,144396,IFC,"June 14, 2019",102,N/A,PG-13,Drama
298,Doctor Who: Logopolis,143248,Fathom,"March 13, 2019",N/A,N/A,Unrated,Sci-Fi
299,Give Me Liberty,139295,Music Box Films,"August 23, 2019",111,N/A,Unrated,Comedy / Drama
300,Who Will Write Our History,138039,Abramorama,"January 18, 2019",95,N/A,Unrated,Documentary
301,Rafiki,137968,Film Movement,"April 19, 2019",83,N/A,Unrated,Drama
302,Okko's Inn,134787,GKIDS,"April 22, 2019",94,N/A,PG,Animation
303,Palau The Movie,134696,Trafalgar Releasing,"March 29, 2019",120,N/A,Unrated,Drama
304,War and Peace,134686,Janus Films,"February 15, 2019",427,N/A,Unrated,Drama
305,Made In Abyss: Journey's Dawn,134047,Fathom,"March 20, 2019",135,N/A,Unrated,Animation
306,The Death and Life of John F. Donovan,131955,Entertainment One,"August 23, 2019",123,N/A,Unrated,Drama
307,Peppa Celebrates Chinese New Year,131225,STX Entertainment,"February 6, 2019",81,N/A,G,Animation
308,Tigers are Not Afraid,129078,Variance Films,"August 21, 2019",83,N/A,Unrated,Horror
309,Jay Myself,128703,Oscilloscope Pictures,"July 31, 2019",76,N/A,Unrated,Documentary
310,The Other Story,128442,Strand,"June 28, 2019",112,N/A,Unrated,Drama
311,Woodstock The Director's Cut - 50th Anniversary,126562,Fathom,"August 15, 2019",224,N/A,Unrated,Documentary
312,Paris is Burning,125677,Janus Films,"June 14, 2019",78,N/A,R,Documentary
313,Lost & Found,125173,Hyper Film,"March 29, 2019",96,N/A,Not Yet Rated,Comedy
314,Mary Magdalene,124741,IFC,"April 12, 2019",120,N/A,R,Drama
315,Easy Rider 50th Anniversary,123276,Fathom,"July 14, 2019",94,N/A,R,Drama
316,A Tuba to Cuba,121772,Blue Fox Entertainment,"February 15, 2019",84,N/A,Unrated,Documentary
317,Avant qu'on explose,119894,Entertainment One,"March 1, 2019",108,N/A,Unrated,Comedy
318,"Ruben Brandt, Collector",117963,Sony Classics,"February 15, 2019",96,N/A,R,Animation
319,The Reports on Sarah and Saleem,117479,Dada Films,"June 12, 2019",127,N/A,Unrated,Crime
320,Mob Psycho 100 - Season 2 Premiere,115766,Fathom,"January 5, 2019",120,N/A,Unrated,Sci-Fi
321,Police Story and Police Story 2,113164,Janus Films,"February 1, 2019",222,N/A,Unrated,Action
322,Babylon,109749,Kino Lorber,"March 8, 2019",95,N/A,Unrated,Drama
323,NT Live: The Audience - NT Live 10th Anniversary,106529,Fathom,"June 3, 2019",180,N/A,Unrated,Unknown
324,The Brink,106057,Magnolia,"March 28, 2019",91,N/A,Unrated,Documentary
325,"Belle and Sebastian, Friends for Life",105890,Entertainment One,"January 25, 2019",97,N/A,Unrated,Adventure
326,Miss & Mrs. Cops,104578,CJ Entertainment,"May 10, 2019",107,N/A,Unrated,Crime Comedy
327,Penguin Highway,104567,Eleven Arts,"April 12, 2019",117,N/A,Not Yet Rated,Animation
328,The Divine Fury,102472,Well Go USA,"August 16, 2019",129,N/A,Unrated,Action Horror
329,Mojin: The Worm Valley,101516,Well Go USA,"January 4, 2019",110,N/A,Unrated,Action / Adventure
330,Wonders of the Sea 3D,100780,Fathom,"January 17, 2019",82,N/A,G,Documentary
331,Walking on Water,98358,Kino Lorber,"May 17, 2019",105,N/A,Unrated,Drama
332,Be Natural: The Untold Story of Alice Guy-Blaché,98053,Zeitgeist,"April 19, 2019",103,N/A,Unrated,Documentary
333,The Image Book,94153,Kino Lorber,"January 25, 2019",84,N/A,Unrated,Drama
334,Margaret Atwood: Live in Cinemas,93690,Fathom,"September 10, 2019",100,N/A,Unrated,Unknown
335,Before You Know It,92285,1091,"August 30, 2019",98,N/A,Unrated,Comedy
336,Always Miss You,91884,China Lion,"May 3, 2019",98,N/A,Unrated,Romance
337,Mapplethorpe,91002,Samuel Goldwyn,"March 1, 2019",102,N/A,Unrated,Drama
338,The Crossing,90896,CMC,"March 15, 2019",99,N/A,Unrated,Drama
339,Loopers: The Caddie's Long Walk,90679,Gravitas Ventures,"June 7, 2019",81,N/A,PG,Documentary
340,Sound! Euphonium the Movie - Our Promise: A Brand New Day,90341,Fathom,"July 11, 2019",110,N/A,Unrated,Animation
341,Ramen Shop,88455,Strand,"March 22, 2019",90,N/A,Unrated,Comedy / Drama
342,Cold Case Hammarskjöld,87501,Magnolia,"August 16, 2019",128,N/A,Not Yet Rated,Documentary
343,ECCO,86858,Citadel Film Group,"August 9, 2019",123,N/A,R,Thriller
344,Sonchiriya,86765,PackYourBag,"March 1, 2019",143,N/A,Unrated,Action / Crime
345,Cyrano de Bergerac presented by Comédie-Française,86300 (Estimate),Fathom,"January 23, 2019",190,N/A,Unrated,Unknown
346,Mayday Life,85912,China Lion,"May 31, 2019",112,N/A,Unrated,Concert
347,A Bigger Splash,85505,Metrograph,"June 21, 2019",106,N/A,Unrated,Documentary
348,The Third Wife,84933,Film Movement,"May 15, 2019",96,N/A,R,Drama
349,Papi Chulo,84497,Blue Fox Entertainment,"June 7, 2019",98,N/A,R,Comedy / Drama
350,Woodstock: Three Days That Defined a Generation,84440,PBS Distribution,"May 24, 2019",96,N/A,Unrated,Documentary
351,Rojo,79706,Distrib Films,"July 12, 2019",109,N/A,Unrated,Drama
352,Saint Judy,78935,Blue Fox Entertainment,"March 1, 2019",106,N/A,PG-13,Drama
353,The Heiresses,78473,Distrib Films,"January 16, 2019",97,N/A,Unrated,Drama
354,Ploey,77815,Viva Pictures Distribution,"April 26, 2019",83,N/A,PG,Animation
355,The Chambermaid,77184,Kino Lorber,"June 28, 2019",102,N/A,Unrated,Drama
356,Fast Color,76916,Lionsgate,"April 19, 2019",102,N/A,PG-13,Drama
357,Triple Threat,76289,Well Go USA,"March 19, 2019",96,N/A,R,Action / Adventure
358,Savage,74491,Well Go USA,"May 3, 2019",112,N/A,Not Yet Rated,Action / Crime
359,5B,72968,Verizon Media/RYOT,"June 14, 2019",94,N/A,PG-13,Documentary
360,Christ Stopped at Eboli,72741,Rialto,"April 3, 2019",220,N/A,Unrated,Drama
361,Cliffs of Freedom,72476,Round Hill Media,"March 1, 2019",137,N/A,R,Historical Drama
362,3 Faces,72324,Kino Lorber,"March 8, 2019",100,N/A,Unrated,Drama
363,Storm Boy,71760,Good Deed,"April 5, 2019",98,N/A,PG,Drama
364,Free Trip to Egypt,71087,Fathom,"June 12, 2019",98,N/A,Unrated,Documentary
365,Styx,70794,Film Movement,"February 27, 2019",94,N/A,Unrated,Thriller
366,Batman Returns,70642,Fathom,"May 6, 2019",126,N/A,PG-13,Action / Adventure
367,Diamantino,70088,Kino Lorber,"May 24, 2019",96,N/A,Unrated,Comedy / Drama
368,The Silence of Others,67986,Argot Pictures,"May 8, 2019",96,N/A,Unrated,Documentary
369,Being Frank,67343,The Film Arcade,"June 14, 2019",109,N/A,R,Comedy
370,This Changes Everything,64988,Fathom,"July 22, 2019",96,N/A,Unrated,Documentary
371,Working Woman,64048,Zeitgeist,"March 27, 2019",93,N/A,Unrated,Drama
372,Sauvage / Wild,61604,Strand,"April 10, 2019",97,N/A,Unrated,Drama
373,Last Year at Marienbad,60884,Janus Films,"May 17, 2019",93,N/A,Unrated,Drama
374,A Faithful Man,58049,Kino Lorber,"July 19, 2019",75,N/A,Unrated,Romance
375,Heavy Water,55446,Fathom,"June 13, 2019",95,N/A,Unrated,Documentary
376,The Mountain,54739,Kino Lorber,"July 26, 2019",106,N/A,Unrated,Drama
377,Plácido Domingo Gala,52502,Fathom,"September 7, 2019",120,N/A,Unrated,Unknown
378,Ophelia,50722,IFC,"June 28, 2019",107,N/A,PG-13,Drama
379,Clinton Road,50400,Nocturnal Features,"June 14, 2019",83,N/A,Unrated,Horror
380,The Bounty Killer,48815,Indican,"January 25, 2019",87,N/A,Unrated,Action
381,"Love, Antosha",48021,Lurker Films,"August 2, 2019",92,N/A,Unrated,Documentary
382,The Queen,47818,Kino Lorber,"June 28, 2019",68,N/A,Unrated,Documentary
383,Under the Silver Lake,46083,A24,"April 19, 2019",139,N/A,R,Crime Thriller
384,He Matado a mi Marido!,45777,Hammond,"March 1, 2019",103,N/A,Unrated,Comedy
385,High on the Hog,45696,Indican,"April 19, 2019",85,N/A,Unrated,Action / Crime
386,The Proposal,45149,Oscilloscope Pictures,"May 24, 2019",83,N/A,Unrated,Documentary
387,What Is Democracy?,44536,Zeitgeist,"January 16, 2019",107,N/A,Unrated,Documentary
388,Maze,44381,Lightyear Entertainment,"March 22, 2019",92,N/A,Unrated,Crime
389,Carmine Street Guitars,44253,Abramorama,"April 24, 2019",80,N/A,Unrated,Documentary
390,Free Trip to Egypt,43365,Independent,"May 31, 2019",98,N/A,Unrated,Documentary
391,Vita and Virginia,42741,IFC,"August 23, 2019",110,N/A,Not Yet Rated,Drama
392,Charlie Says,40685,IFC,"May 10, 2019",104,N/A,R,Crime Drama
393,Slut in a Good Way,40513,Comedy Dynamics,"March 28, 2019",89,N/A,R,Comedy
394,Zilla and Zoe,39003,Indican,"May 17, 2019",104,N/A,Unrated,Fantasy Comedy
395,Shed of the Dead,38901,Indican,"May 17, 2019",85,N/A,Unrated,Action
396,Batman Forever,38014,Fathom,"May 12, 2019",122,N/A,PG-13,Action / Adventure
397,The Quiet One,37010,IFC,"June 21, 2019",108,N/A,Not Yet Rated,Documentary
398,The Sower,36233,Film Movement,"March 1, 2019",98,N/A,Unrated,Drama
399,Yardie,36012,Rialto,"March 15, 2019",103,N/A,Unrated,Crime Drama
400,The Raft,35582,Metrograph,"June 7, 2019",97,N/A,Unrated,Documentary
401,Love Live! Sunshine!! The School Idol Movie Over The Rainbow,34135,FUNimation Films,"August 5, 2019",100,N/A,Unrated,Animation
402,The Wild Pear Tree,34014,Cinema Guild,"January 30, 2019",188,N/A,Unrated,Drama
403,Killer Unicorn,33901,Indican,"June 14, 2019",74,N/A,Unrated,Horror
404,An Elephant Sitting Still,32556,KimStim,"March 8, 2019",234,N/A,Unrated,Drama
405,Knife+Heart,32516,Altered Innocence,"March 15, 2019",110,N/A,Unrated,Drama
406,An Acceptable Loss,32427,IFC,"January 18, 2019",102,N/A,R,Drama / Thriller
407,Mr. Klein,30825,Rialto,"September 6, 2019",123,N/A,Unrated,Drama
408,Pasolini,30757,Kino Lorber,"May 10, 2019",84,N/A,Unrated,Drama
409,Sorry Angel,30628,Strand,"February 15, 2019",132,N/A,Unrated,Drama
410,La Religieuse,30245,Rialto,"January 4, 2019",140,N/A,Unrated,Drama
411,Buddy,29838,Grasshopper Film,"March 20, 2019",86,N/A,Unrated,Documentary
412,Buñuel in the Labyrinth of the Turtles,29700,GKIDS,"August 16, 2019",80,N/A,Unrated,Animation
413,Vault,29491,Grindstone Entertainment,"June 7, 2019",99,N/A,R,Crime Drama
414,Batman and Robin,28597,Fathom,"May 14, 2019",125,N/A,PG-13,Action / Adventure
415,Hotel by the River,28354,Cinema Guild,"February 15, 2019",96,N/A,Unrated,Comedy / Drama
416,The Wind,28252,IFC,"April 5, 2019",86,N/A,R,Horror
417,In The Aisles,27522,Music Box Films,"June 14, 2019",125,N/A,Unrated,Drama
418,"Leaving Home, Coming Home: A Portrait of Robert Frank",27073,Greenwich,"May 29, 2019",86,N/A,Unrated,Documentary
419,Wrestle,26597,Oscilloscope Pictures,"February 22, 2019",96,N/A,Unrated,Documentary
420,Donnybrook,26284,IFC,"February 15, 2019",101,N/A,R,Drama
421,For Sama,25522,PBS Distribution,"July 26, 2019",100,N/A,Unrated,Documentary
422,End of the Century,25183,Cinema Guild,"August 16, 2019",84,N/A,Not Yet Rated,Romance
423,The Final Wish,25183,Fathom,"January 24, 2019",95,N/A,Unrated,Horror
424,Asako I & II,23451,Grasshopper Film,"May 17, 2019",119,N/A,Unrated,Drama
425,Wicked Witches,21600,Nocturnal Features,"August 9, 2019",79,N/A,Unrated,Horror
426,The Hole in the Ground,21072,A24,"March 1, 2019",90,N/A,R,Horror
427,Hyenas,21039,Metrograph,"April 26, 2019",110,N/A,Unrated,Comedy / Drama
428,Round of Your Life,20941,Ammo Content,"June 21, 2019",91,N/A,Unrated,Sports Drama
429,General Magic,20046,Gravitas Ventures,"May 10, 2019",93,N/A,Unrated,Documentary
430,The Gospel of Eureka,20039,Kino Lorber,"February 8, 2019",75,N/A,Unrated,Documentary
431,The Load,20014,Grasshopper Film,"August 30, 2019",98,N/A,Unrated,Drama
432,Leo Da Vinci: Mission Mona Lisa,19978 (Estimate),Ammo Content,"August 2, 2019",86,N/A,G,Family
433,Armstrong,19740,Gravitas Ventures,"July 12, 2019",100,N/A,Unrated,Documentary
434,Girls of the Sun,19712,Cohen Media Group,"April 12, 2019",115,N/A,Unrated,Drama
435,Piranhas,19661,Music Box Films,"August 2, 2019",105,N/A,Unrated,Crime Drama
436,Union,19398,Indican,"August 2, 2019",N/A,N/A,Not Yet Rated,Unknown
437,Out of Blue,18779,IFC,"March 22, 2019",109,N/A,Unrated,Crime Drama
438,Black Mother,18762,Grasshopper Film,"March 9, 2019",77,N/A,Unrated,Documentary
439,Before Stonewall,18724,First Run,"June 21, 2019",87,N/A,Unrated,Documentary
440,The Return of Martin Guerre,18603,Cohen Media Group,"July 5, 2019",122,N/A,Unrated,Crime Drama
441,"Phoenix, Oregon",18356,Joma Films,"May 2, 2019",108,N/A,R,Comedy
442,Ms. Purple,18228,Oscilloscope Pictures,"September 6, 2019",87,N/A,Unrated,Drama
443,The Cranes are Flying,17923,Janus Films,"July 12, 2019",95,N/A,Unrated,Drama
444,Ode to Joy,17303,IFC,"August 9, 2019",98,N/A,R,Comedy
445,Bauhaus Spirit,17122,Icarus Films,"February 10, 2019",90,N/A,Unrated,Documentary
446,Joseph Pulitzer: Voice of the People,16970,First Run,"March 1, 2019",84,N/A,Unrated,Documentary
447,Los Reyes,16766,Grasshopper Film,"August 16, 2019",78,N/A,Unrated,Documentary
448,Too Late to Die Young,16591,KimStim,"May 31, 2019",110,N/A,Unrated,Drama
449,The Ground Beneath My Feet,16524,Strand,"July 26, 2019",108,N/A,Unrated,Drama
450,Three Peaks,16216,Greenwich,"June 28, 2019",93,N/A,Unrated,Thriller
451,Virginia Minnesota,16118,Indican,"March 1, 2019",98,N/A,Unrated,Comedy / Drama
452,Piercing,15856,Greenwich,"February 1, 2019",81,N/A,R,Horror
453,Starfish,15849,Yellow Veil Pictures,"March 15, 2019",99,N/A,Unrated,Sci-Fi Horror
454,Trinity Seven: Heavens Library & Crimson Lord,15712,Atlas Distribution,"March 29, 2019",61,N/A,R,Animation
455,Edie,15649,Music Box Films,"September 6, 2019",102,N/A,Unrated,Drama
456,The Competition,15425,Metrograph,"February 22, 2019",121,N/A,Unrated,Documentary
457,Between the Lines,15383,Cohen Media Group,"February 22, 2019",101,N/A,Not Yet Rated,Comedy
458,Funan,15152,GKIDS,"June 7, 2019",84,N/A,Unrated,Animation
459,ZZ Top: That Little Ol' Band from Texas,14879,Abramorama,"August 19, 2019",90,N/A,Unrated,Documentary
460,Our Time,14777,Monument Releasing,"June 14, 2019",173,N/A,Unrated,Drama
461,My Son,14450,Cohen Media Group,"May 10, 2019",84,N/A,Unrated,Drama / Thriller
462,Combat Obscura,14242,Oscilloscope Pictures,"March 15, 2019",70,N/A,Unrated,Documentary
463,Screwball,13967,Greenwich,"March 29, 2019",105,N/A,Unrated,Documentary
464,Touch Me Not,13782,Kino Lorber,"January 11, 2019",123,N/A,Unrated,Drama
465,This One's for the Ladies,13688,Super,"June 7, 2019",82,N/A,R,Documentary
466,Hagazussa,13253,Doppelganger Releasing,"April 19, 2019",102,N/A,Not Yet Rated,Horror
467,Off Season,12544,Indican,"March 15, 2019",86,N/A,Unrated,Drama / Thriller
468,Bricked,12201,Gathr Films,"January 24, 2019",93,N/A,Not Yet Rated,Drama
469,Zen for Nothing,12107,Zeitgeist,"March 29, 2019",100,N/A,Unrated,Documentary
470,Quartet,12042,Cohen Media Group,"May 3, 2019",101,N/A,R,Drama
471,"Cassandro, the Exotico!",11897,Film Movement,"July 19, 2019",73,N/A,Unrated,Documentary
472,Yomeddine,11308,Strand,"May 31, 2019",97,N/A,Unrated,Adventure Comedy
473,In Like Flynn,11255,Blue Fox Entertainment,"January 25, 2019",99,N/A,R,Action / Adventure
474,Made Me Do It,11151,Indican,"April 12, 2019",90,N/A,Unrated,Drama
475,Ferrante Fever,11137,Greenwich,"March 8, 2019",74,N/A,Unrated,Documentary
476,If the Dancer Dances,10912,Monument Releasing,"April 26, 2019",90,N/A,Unrated,Documentary
477,Daughter of Mine,10628,Strand,"February 1, 2019",97,N/A,Unrated,Drama
478,Suburban Birds,10587,Cinema Guild,"April 5, 2019",113,N/A,Unrated,Drama
479,The Cat Rescuers,10542,Balcony Releasing,"July 5, 2019",87,N/A,Unrated,Documentary
480,The Eyes of Orson Welles,10253,Janus Films,"March 15, 2019",115,N/A,Unrated,Documentary
481,Streetwise,9904,Janus Films,"July 19, 2019",91,N/A,Unrated,Documentary
482,Olivia,9563,Icarus Films,"August 16, 2019",96,N/A,Not Yet Rated,Documentary
483,I Do Not Care If We Go Down in History as Barbarians,9349,Big World Pictures,"July 19, 2019",140,N/A,Unrated,Comedy / Drama
484,The Aspern Papers,9277 (Estimate),Cohen Media Group,"January 11, 2019",90,N/A,R,Drama
485,"Frantz Fanon: Black Skin, White Mask",9025,Film Movement,"March 15, 2019",70,N/A,Unrated,Documentary
486,Meanest Man in Texas,8850,Ammo Content,"May 17, 2019",105,N/A,Not Yet Rated,Drama
487,That Part Feeling,8812,Film Movement,"June 3, 2019",75,N/A,Unrated,Documentary
488,This Magnificent Cake!,7888,GKIDS,"March 1, 2019",44,N/A,Unrated,Animation
489,Ghost Fleet,7850,Abramorama,"June 7, 2019",90,N/A,Unrated,Documentary
490,The Plagiarists,7768,KimStim,"June 28, 2019",76,N/A,Unrated,Drama
491,I'll Take Your Dead,7692,Breakthrough Ent.,"July 5, 2019",85,N/A,Unrated,Thriller
492,King of Thieves,7518,Saban Films,"January 25, 2019",108,N/A,R,Crime Drama
493,Vision Portraits,7330,Stimulus Pictures,"August 9, 2019",78,N/A,Unrated,Documentary
494,Angels Are Made of Light,7029,Grasshopper Film,"July 26, 2019",117,N/A,Unrated,Documentary
495,Under the Eiffel Tower,6291,The Orchard,"February 8, 2019",86,N/A,Not Yet Rated,Romantic Comedy
496,Patrick,6290,Independent,"February 15, 2019",94,N/A,Unrated,Family
497,Relaxer,6133,Oscilloscope Pictures,"March 29, 2019",91,N/A,Unrated,Comedy
498,Balloon,6033,Distributors Corporation of America,"September 6, 2019",125,N/A,Unknown,Drama
499,Rosie,5652,Blue Fox Entertainment,"July 19, 2019",86,N/A,PG-13,Drama
500,Dying to Survive,5562,China Lion,"August 9, 2019",117,N/A,Unrated,Comedy / Drama
501,The Miracle of the Little Prince,5553,Film Movement,"August 28, 2019",89,N/A,Unrated,Documentary
502,Genese,5516,Film Movement,"August 23, 2019",129,N/A,Unrated,Drama
503,Chokehold,5200,Ammo Content,"March 1, 2019",98,N/A,Unrated,Action Drama
504,Body at Brighton Rock,5123,Magnolia,"April 26, 2019",87,N/A,R,Thriller
505,Cold Blood,5083,Screen Media,"July 5, 2019",91,N/A,Unrated,Action Thriller
506,Chulas Fronteras & Del mero corazon,5021,Argot Pictures,"June 28, 2019",87,N/A,Unrated,Documentary
507,The Garden,5006,Kino Lorber,"May 29, 2019",92,N/A,Unrated,Drama
508,Malek,4898,Entertainment One,"January 18, 2019",95,N/A,Unrated,Drama
509,What You Gonna Do When the World's on Fire?,4672,KimStim,"August 16, 2019",123,N/A,Unrated,Documentary
510,Slaughterhouse Rulez,4665,Sony / Columbia,"May 17, 2019",104,N/A,R,Action Comedy
511,At War,4605,Cinema Libre Studio,"July 19, 2019",115,N/A,Unrated,Drama
512,Aga,4596,Big World Pictures,"September 4, 2019",96,N/A,Unrated,Drama
513,Rapid Response,4497,Atlas Distribution,"September 6, 2019",99,N/A,PG-13,Documentary
514,Sgt. Will Gardner,4405,Cinedigm Entertainment,"January 11, 2019",125,N/A,Unrated,Drama
515,Tito and the Birds,4332,Shout! Factory,"January 25, 2019",73,N/A,Unrated,Animation
516,The Fate of Lee Khan,4295,Film Movement,"April 5, 2019",106,N/A,Unrated,Action
517,State Like Sleep,4282,The Orchard,"January 4, 2019",104,N/A,Unrated,Drama
518,La flor,4032,Grasshopper Film,"August 9, 2019",808,N/A,Unrated,Drama
519,Mother of a Day,3919,Sumbadhat Productions,"May 4, 2019",75,N/A,Unrated,Family Comedy
520,The Wandering Soap Opera,3624,Cinema Guild,"May 17, 2019",80,N/A,Not Yet Rated,Comedy / Drama
521,Rottentail,3383,Ammo Content,"April 12, 2019",89,N/A,Unrated,Horror
522,Chasing Portraits,3076,First Run,"April 26, 2019",78,N/A,Unrated,Documentary
523,Back to the Fatherland,2697,First Run,"June 14, 2019",77,N/A,Unrated,Documentary
524,The Spanish Prisoner,2679,Ammo Content,"April 26, 2019",110,N/A,PG,Drama / Thriller
525,Joan the Maid Parts 1 & 2,2562,Cohen Media Group,"August 2, 2019",336,N/A,Unrated,Drama
