,Title,Domestic_Total_Gross,Distributor,Release_Date,Runtime,Production_Budget,MPAA_Rating,Genre
302,The Cat Returns - Studio Ghibli Fest 2018,563718,Fathom,"April 22, 2018",75,N/A,G,Animation
303,A Cool Fish,551876,China Lion,"November 16, 2018",109,N/A,Unrated,Comedy
304,Tommy Wiseau's The Room,549602,Fathom,"January 10, 2018",99,N/A,R,Drama
305,The Children Act,547750,A24,"September 14, 2018",105,N/A,R,Thriller
306,Anna and the Apocalypse,545597,Orion Pictures,"November 30, 2018",92,N/A,R,Musical
307,Dragon Ball Z: Saiyan Double Feature,540707,Fathom,"November 3, 2018",105,N/A,Unrated,Animation
308,Fireworks,525280,GKIDS,"July 3, 2018",90,N/A,Unrated,Animation
309,Castle in the Sky - Studio Ghibli Fest 2018,523664,Fathom,"November 18, 2018",125,N/A,PG,Animation
310,Grave of the Fireflies - Studio Ghibli Fest 2018,516962,Fathom,"August 12, 2018",89,N/A,Unrated,Animation
311,The Sandlot,516130,Fathom,"July 22, 2018",101,N/A,PG,Family Comedy
312,Beetlejuice,512947,Warner Bros.,"September 28, 2018",92,N/A,PG,Horror Comedy
313,TCM: Die Hard 30th Anniversary Event,510241,Fathom,"November 11, 2018",132,N/A,R,Action Thriller
314,The Spy Gone North,500803,CJ Entertainment,"August 10, 2018",141,N/A,Unrated,Drama
315,Monsters and Men,500101,Neon,"September 28, 2018",95,N/A,R,Drama
316,Bilal: A New Breed of Hero,490973,Vertical Entertainment,"February 2, 2018",109,N/A,PG-13,Animation
317,The Great Battle,472166,Well Go USA,"September 21, 2018",136,N/A,Unrated,Action
318,The Happy Prince,466440,Sony Classics,"October 10, 2018",105,N/A,R,Drama
319,Puffs: Filmed Live Off Broadway,464483,Fathom,"May 9, 2018",110,N/A,Unrated,Unknown
320,Final Portrait,461972,Sony Classics,"March 23, 2018",90,N/A,R,Comedy / Drama
321,Scotty and the Secret History of Hollywood,461689,Greenwich,"July 27, 2018",98,N/A,Unrated,Documentary
322,South Pacific,458000,Fathom,"August 26, 2018",157,N/A,Unrated,Musical
323,Condorito: La Pelicula,447719,Lionsgate,"January 12, 2018",88,N/A,PG,Animation
324,Perfect Blue,446062,GKIDS,"September 7, 2018",80,N/A,R,Animation
325,Porco Rosso - Studio Ghibli Fest 2018,443059,Fathom,"May 20, 2018",94,N/A,PG,Animation
326,Elf,442073,Warner Bros.,"November 2, 2018",95,N/A,PG,Comedy
327,DCI 2018: Tour Premiere,434008,Fathom,"June 21, 2018",120,N/A,Unrated,Unknown
328,The Shining,421572,Warner Bros.,"October 31, 2018",146,N/A,R,Horror
329,NT LIVE: FRANKENSTEIN Cumberbatch as Creature,417783,Fathom,"October 22, 2018",140,N/A,Unrated,Unknown
330,Cirque du Soleil: KURIOS - Cabinet Of Curiosities,413039,Fathom,"November 13, 2018",105,N/A,Unrated,Unknown
331,Bag of Marbles,411318,Gaumont British Picture Corporation,"March 23, 2018",110,N/A,Unrated,Drama
332,"Night Is Short, Walk On Girl",406490,GKIDS,"August 21, 2018",92,N/A,Unrated,Animation
333,The Philadelphia Story,404524,Fathom,"February 18, 2018",112,N/A,Unrated,Romantic Comedy
334,The Oath,401463,Roadside Attractions,"October 12, 2018",93,N/A,R,Comedy
335,We the Animals,400961,The Orchard,"August 17, 2018",93,N/A,R,Drama
336,The Gospel According to André,400713,Magnolia,"May 25, 2018",94,N/A,PG-13,Documentary
337,Leaning Into The Wind,400530,Magnolia,"March 9, 2018",93,N/A,PG,Documentary
338,TCM: West Side Story,398670,Fathom,"June 24, 2018",153,N/A,Unrated,Musical
339,RiffTrax Live: Space Mutiny,397887,Fathom,"June 14, 2018",91,N/A,Unrated,Action / Adventure
340,RiffTrax Live: Krull,397157,Fathom,"August 23, 2018",116,N/A,Unrated,Comedy
341,Vertigo,394212,Fathom,"March 18, 2018",128,N/A,PG,Romantic Thriller
342,Soorma,390077,Sony / Columbia,"July 13, 2018",131,N/A,PG-13,Sports
343,Jane and Emma,380030,Excel,"October 12, 2018",94,N/A,PG,Drama
344,Attack on Titan Season 3,377334,FUNimation Films,"July 10, 2018",141,N/A,Unrated,Animation
345,The Dark Knight,375589,Warner Bros.,"August 24, 2018",150,N/A,PG-13,Action / Adventure
346,Oh Lucy!,375391,Film Movement,"March 2, 2018",95,N/A,Unrated,Comedy / Drama
347,Grace Jones: Bloodlight and Bami,375208,Kino Lorber,"April 13, 2018",115,N/A,Unrated,Documentary
348,Jurassic Park,374238,Fathom,"September 16, 2018",127,N/A,PG-13,Sci-Fi Horror
349,Pom Poko - Studio Ghibli Fest 2018,372405,Fathom,"June 17, 2018",119,N/A,PG,Animation
350,Believer,365639,Well Go USA,"June 8, 2018",123,N/A,Unrated,Crime Thriller
351,Mountain,365412,Greenwich,"May 11, 2018",74,N/A,PG,Documentary
352,Kusama: Infinity,360931,Magnolia,"September 7, 2018",80,N/A,Unrated,Documentary
353,The Wizard of Oz,351839,Warner Bros.,"February 18, 2018",101,N/A,G,Fantasy
354,Suicide: The Ripple Effect,347468,Gathr Films,"February 23, 2018",93,N/A,Unrated,Documentary
355,Sailor Moon R & S - The Movies,335697,Fathom,"July 28, 2018",120,N/A,Unrated,Animation
356,Russ Taff: I Still Believe,334983,Fathom,"October 30, 2018",110,N/A,Unrated,Unknown
357,Shine,333388,GVN Releasing,"October 5, 2018",96,N/A,R,Drama
358,Hichki,330279,Yash Raj,"March 23, 2018",106,N/A,Unrated,Drama
359,Flower,328188,The Orchard,"March 16, 2018",93,N/A,R,Comedy / Drama
360,Bolshoi Ballet: The Nutcracker,323928,Fathom,"December 23, 2018",140,N/A,Unrated,Unknown
361,The Opera House,320079,Fathom,"January 13, 2018",111,N/A,Unrated,Documentary
362,The Riot and the Dance,316103,Fathom,"March 19, 2018",110,N/A,Unrated,Documentary
363,Bolshoi Ballet 2017/2018: Romeo and Juliet,313088,Fathom,"January 21, 2018",185,N/A,Unrated,Unknown
364,MET Opera: Magic Flute,307686,Fathom,"December 1, 2018",120,N/A,Unrated,Unknown
365,Damsel,305136,Magnolia,"June 22, 2018",113,N/A,R,Drama
366,Wilder vs Fury,304482,Fathom,"December 1, 2018",270,N/A,Unrated,Unknown
367,Bolshoi Ballet 2017/2018: Giselle,302681,Fathom,"April 8, 2018",140,N/A,Unrated,Unknown
368,Sunset Boulevard,299645,Fathom,"May 13, 2018",110,N/A,Unrated,Drama
369,Harry Potter & the Sorcerer's Stone,295917,Warner Bros.,"September 2, 2018",153,N/A,PG,Fantasy
370,More Than Funny: Everybody Has a Punchline,290498,Fathom,"October 18, 2018",90,N/A,Unrated,Comedy
371,The Son of Bigfoot,289308,Viva Pictures Distribution,"March 30, 2018",92,N/A,PG,Animation
372,Andy Irons: Kissed by God,285933,Fathom,"May 25, 2018",100,N/A,Unrated,Documentary
373,Golden Job,285795,Well Go USA,"September 28, 2018",100,N/A,Unrated,Action
374,But Deliver Us from Evil,285169,Indican,"February 9, 2018",109,N/A,Unrated,Horror Thriller
375,Newsies: The Broadway Musical,282429,Fathom,"July 26, 2018",149,N/A,PG,Musical
376,Science Fair,276195,National Geographic Entertainment,"September 14, 2018",90,N/A,PG,Documentary
377,Kings,274635,The Orchard,"April 27, 2018",97,N/A,R,Crime Drama
378,The Endless,272020,Well Go USA,"April 6, 2018",112,N/A,Unrated,Sci-Fi Thriller
379,The World Before Your Feet,268644,Greenwich,"November 21, 2018",95,N/A,Unrated,Documentary
380,Doctor Who: Genesis of the Daleks,264629,Fathom,"June 11, 2018",110,N/A,Unrated,Adventure
381,Detective Dee: The Four Heavenly Kings,262963,Well Go USA,"July 27, 2018",131,N/A,Unrated,Action
382,Eating You Alive,260534,Fathom,"April 5, 2018",125,N/A,Unrated,Documentary
383,What They Had,260136,Bleecker Street,"October 19, 2018",101,N/A,R,Drama
384,The King,259291,Oscilloscope Pictures,"June 22, 2018",107,N/A,R,Documentary
385,Across the Universe,258618,Fathom,"July 29, 2018",131,N/A,PG-13,Musical
386,Big 30th Anniversary,258507,Fathom,"July 15, 2018",104,N/A,PG,Fantasy Comedy
387,Back to Burgundy,257610,Music Box Films,"March 23, 2018",113,N/A,Unrated,Comedy / Drama
388,London Fields,252676,GVN Releasing,"October 26, 2018",118,N/A,R,Drama
389,Best F,252410,Fathom,"March 30, 2018",108,N/A,R,Comedy / Drama
390,Batti Gul Meter Chalu,249539,Eros,"September 21, 2018",161,N/A,Unrated,Drama
391,Harry Potter & the Chamber of Secrets,245501,Warner Bros.,"September 2, 2018",161,N/A,PG,Fantasy
392,The Fireflies are Gone,245006,Entertainment One,"September 21, 2018",96,N/A,Unrated,Drama
393,RWBY Volume 6 Premiere,238379,Fathom,"October 25, 2018",90,N/A,Unrated,Animation
394,Generation Wealth,237709,Magnolia,"July 20, 2018",106,N/A,Not Yet Rated,Documentary
395,Skate Kitchen,236799,Magnolia,"August 10, 2018",105,N/A,R,Drama
396,NT Live: Hamlet 2018 Encore,235229,Fathom,"March 8, 2018",210,N/A,Unrated,Unknown
397,Superman 40th Anniversary,233585,Fathom,"November 25, 2018",143,N/A,PG,Action / Adventure
398,Sailor Moon SuperS - The Movie,231434,Fathom,"August 4, 2018",75,N/A,Unrated,Animation
399,Borg vs. McEnroe,231346,Neon,"April 13, 2018",107,N/A,R,Drama
400,Matangi/Maya/M.I.A.,230808,Abramorama,"September 28, 2018",96,N/A,Unrated,Documentary
401,MFKZ,229423,GKIDS,"October 11, 2018",94,N/A,R,Animation
402,Swing Kids,222001,Well Go USA,"December 21, 2018",133,N/A,Unrated,Drama
403,Little Pink House,220948,Dada Films,"April 20, 2018",98,N/A,Unrated,Drama
404,Mazinger Z: INFINITY,220682,Fathom,"February 11, 2018",95,N/A,Unrated,Animation
405,Fragments of Truth,219342,Fathom,"April 24, 2018",105,N/A,Unrated,Documentary
406,Harry Potter & the Prisoner of Azkaban,218774,Warner Bros.,"September 2, 2018",142,N/A,PG,Fantasy
407,Dark Money,217932,PBS Distribution,"July 13, 2018",98,N/A,Unrated,Documentary
408,Getting Grace,217812,Hannover House,"March 23, 2018",112,N/A,PG-13,Comedy / Drama
409,The Producers,216807,Fathom,"June 3, 2018",88,N/A,PG,Comedy
410,The Treasure of the Sierra Madre,215295,Fathom,"January 14, 2018",126,N/A,Unrated,Adventure
411,Agent Mr. Chan,208351,China Lion,"February 23, 2018",101,N/A,Unrated,Comedy
412,The Dating Project,208100,Fathom,"April 17, 2018",71,N/A,Unrated,Documentary
413,The Guilty,207140,Magnolia,"October 19, 2018",85,N/A,R,Thriller
414,Default,203775,CJ Entertainment,"November 30, 2018",114,N/A,Unrated,Drama
415,Keep the Change,202788,Kino Lorber,"March 16, 2018",93,N/A,Unrated,Romantic Comedy
416,Bolshoi Ballet 2017/2018: Coppelia,202217,Fathom,"June 10, 2018",165,N/A,Unrated,Unknown
417,Heading Home: The Tale of Team Israel,201325,Menemsha,"December 14, 2018",87,N/A,Unrated,Documentary
418,Zama,200600,Strand,"April 13, 2018",115,N/A,Unrated,Drama
419,Gemini,200340,Neon,"March 30, 2018",93,N/A,R,Thriller
420,Gauguin: Voyage to Tahiti,200140,Cohen Media Group,"July 11, 2018",102,N/A,Not Yet Rated,Drama
421,TCM: Rebel Without a Cause,199963,Fathom,"September 23, 2018",111,N/A,PG-13,Drama
422,Studio 54,199767,Zeitgeist,"October 5, 2018",98,N/A,Unrated,Documentary
423,Jason Mraz: Have It All The Movie,197142,Atlantic Records,"August 7, 2018",90,N/A,PG,Documentary
424,Fate/Stay Night: Heaven's Feel - I. Presage Flower,193833,Fathom,"June 5, 2018",130,N/A,Unrated,Animation
425,The Final Year,191900,Magnolia,"January 19, 2018",89,N/A,Unrated,Documentary
426,Harry Potter & the Goblet of Fire,188716,Warner Bros.,"September 2, 2018",153,N/A,PG-13,Fantasy
427,Bolshoi Ballet: Don Quixote,187946,Fathom,"December 2, 2018",175,N/A,Unrated,Unknown
428,Never-Ending Man: Hayao Miyazaki,187320,GKIDS,"December 13, 2018",70,N/A,Unrated,Documentary
429,The Monkey King 3,187074,Well Go USA,"February 16, 2018",114,N/A,Unrated,Action / Adventure
430,Goldbuster,186135,Well Go USA,"January 5, 2018",89,N/A,Unrated,Comedy
431,Summer 1993,185903,Oscilloscope Pictures,"May 25, 2018",96,N/A,Unrated,Drama
432,Maquia: When the Promised Flower Blooms,185699,Eleven Arts,"July 20, 2018",115,N/A,Unrated,Animation
433,Madeline's Madeline,185576,Oscilloscope Pictures,"August 10, 2018",90,N/A,Unrated,Drama
434,NT Live: King Lear,185305,Fathom,"September 27, 2018",140,N/A,Unrated,Unknown
435,Cobra Kai Premiere Event feat. The Karate Kid,185082,Fathom,"April 25, 2018",165,N/A,PG,Sports Action
436,Karwaan,182009,PackYourBag,"August 3, 2018",114,N/A,Unrated,Comedy / Drama
437,Harry Potter & the Deathly Hallows - Part 2,181938,Warner Bros.,"September 2, 2018",130,N/A,PG-13,Fantasy
438,Last Letter,180946,China Lion,"November 9, 2018",114,N/A,Unrated,Drama
439,The Accidental Detective 2: In Action,179045,CJ Entertainment,"June 22, 2018",116,N/A,Unrated,Crime Comedy
440,Buybust,178471,Well Go USA,"August 10, 2018",128,N/A,Unrated,Action / Crime
441,Batman: Mask of the Phantasm,178133,Fathom,"November 12, 2018",76,N/A,PG,Animation
442,The Guardians,177331,Music Box Films,"May 4, 2018",138,N/A,R,Drama
443,Bolshoi Ballet 2017/2018: The Flames of Paris,175922,Fathom,"March 4, 2018",135,N/A,Unrated,Unknown
444,Always at the Carlyle,174251,Good Deed,"May 11, 2018",92,N/A,PG-13,Documentary
445,Met Summer Encore: Turandot,172627,Fathom,"July 18, 2018",138,N/A,Unrated,Unknown
446,Bolshoi Ballet: La Sylphide,171177,Fathom,"November 11, 2018",120,N/A,Unrated,Unknown
447,The House That Jack Built,170113,IFC,"November 28, 2018",152,N/A,Unrated,Drama / Thriller
448,Luis & the Aliens,169710,Viva Pictures Distribution,"August 17, 2018",86,N/A,PG,Animation
449,Bolshoi Ballet 2017/2018: The Lady of Camellias,167991,Fathom,"February 4, 2018",185,N/A,Unrated,Unknown
450,Rampant,167937,Well Go USA,"October 26, 2018",127,N/A,Unrated,Action Horror
451,Double Lover,167581,Cohen Media Group,"February 14, 2018",107,N/A,Not Yet Rated,Drama
452,Is Genesis History?,166763,Fathom,"February 22, 2018",100,N/A,Unrated,Documentary
453,Boom for Real: The Late Teenage Years of Jean-Michel Basquiat,166616,Magnolia,"May 11, 2018",78,N/A,Unrated,Documentary
454,Far from the Tree,166018,IFC,"July 20, 2018",93,N/A,Unrated,Documentary
455,Journey's End,161796,Good Deed,"March 16, 2018",107,N/A,R,War Drama
456,The Samuel Project,161565,in8 Releasing,"September 28, 2018",92,N/A,PG-13,Drama
457,NT LIVE: The Curious Incident of the Dog in the Night-Time,160381,Fathom,"June 12, 2018",170,N/A,Unrated,Unknown
458,Silencio,158723,Tulip Pictures,"October 26, 2018",98,N/A,R,Drama / Thriller
459,The Last Resort,158646,Kino Lorber,"December 21, 2018",70,N/A,Unrated,Documentary
460,Buttons: A New Musical Film,151983,Fathom,"December 8, 2018",115,N/A,Unrated,Musical
461,Eating Animals,149614,IFC,"June 15, 2018",94,N/A,Unrated,Documentary
462,Ghost Stories,148747,IFC,"April 20, 2018",98,N/A,Unrated,Horror
463,Bad Reputation,148568,Magnolia,"September 28, 2018",94,N/A,R,Documentary
464,Museo,148505,Vitagraph,"September 14, 2018",128,N/A,Unrated,Crime Drama
465,Harry Potter & the Deathly Hallows - Part 1,148263,Warner Bros.,"September 2, 2018",150,N/A,PG-13,Fantasy
466,Night of the Living Dead,147423,Fathom,"October 24, 2018",96,N/A,Unrated,Horror
467,The Little Mermaid,147175,Conglomerate Media,"August 17, 2018",94,N/A,PG,Adventure
468,TCM: Mr. Smith Goes to Washington,144738,Fathom,"October 14, 2018",129,N/A,Unrated,Drama
469,Best F,141524,Fathom,"June 1, 2018",120,N/A,R,Comedy / Drama
470,Harry Potter & the Order of the Phoenix,132522,Warner Bros.,"September 2, 2018",139,N/A,PG-13,Fantasy
471,Rudy,131200,Fathom,"August 28, 2018",114,N/A,PG,Sports Drama
472,Harry Potter & the Half-Blood Prince,130081,Warner Bros.,"September 2, 2018",153,N/A,PG,Fantasy
473,Met Summer Encore: Madama Butterfly,129730,Fathom,"June 20, 2018",160,N/A,Unrated,Unknown
474,Met Summer Encore: Eugene Onegin,129498,Fathom,"July 11, 2018",171,N/A,Unrated,Unknown
475,Met Opera: Il Trovatore,129393,Fathom,"June 27, 2018",N/A,N/A,Unrated,Musical
476,Support the Girls,129124,Magnolia,"August 24, 2018",90,N/A,R,Comedy
477,Sleepless In Seattle 25th Anniversary,127281,Fathom,"December 2, 2018",105,N/A,PG-13,Romantic Comedy
478,Monster Family,127259,Viva Pictures Distribution,"February 9, 2018",96,N/A,PG,Animation
479,The Young Karl Marx,125659,The Orchard,"February 23, 2018",118,N/A,Unrated,Drama
480,Bel Canto,125569,Screen Media,"September 14, 2018",102,N/A,Unrated,Thriller
481,'85: The Greatest Team in Football History,124573,Fathom,"January 29, 2018",90,N/A,Unrated,Documentary
482,Wings of Desire,123830,Janus Films,"October 19, 2018",127,N/A,Unrated,Romance
483,Yu-Gi-Oh! The Movie,121688,Fathom,"March 11, 2018",110,N/A,PG,Animation
484,Love After Love,121098,IFC,"March 30, 2018",91,N/A,Unrated,Drama
485,Becoming Astrid,120486,Music Box Films,"November 23, 2018",123,N/A,Unrated,Historical Drama
486,Five Seasons: The Gardens of Piet Oudolf,119223,Argot Pictures,"June 13, 2018",75,N/A,Unrated,Documentary
487,Till the End of the World,118660,China Lion,"February 2, 2018",117,N/A,Unrated,Adventure
488,The Great Buster: A Celebration,118344,Cohen Media Group,"October 5, 2018",102,N/A,Unrated,Documentary
489,Bisbee '17,117470,4th Row Films,"September 5, 2018",112,N/A,Unrated,Documentary
490,Ryuichi Sakamoto: Coda,117460,MUBI,"July 6, 2018",102,N/A,Unrated,Documentary
491,George Takei's Allegiance,117162,Fathom,"December 11, 2018",130,N/A,Unrated,Musical
492,Gonjiam: Haunted Asylum,115252,Well Go USA,"April 13, 2018",93,N/A,Unrated,Horror
493,Mantra: Sounds into Silence,115013,Gathr Films,"April 20, 2018",85,N/A,Unrated,Documentary
494,Bodied,113956,Neon,"November 2, 2018",120,N/A,R,Musical
495,HYMN - Sarah Brightman In Concert,113274,Fathom,"November 8, 2018",110,N/A,Unrated,Unknown
496,A Boy. A Girl. A Dream.,112552,Samuel Goldwyn,"September 14, 2018",89,N/A,R,Romance
497,Take Point,112386,CJ Entertainment,"December 27, 2018",119,N/A,Unrated,Action
498,"Hale County This Morning, This Evening",112282,Cinema Guild,"September 14, 2018",76,N/A,Unrated,Documentary
499,The Dawn Wall,112191,The Orchard,"September 14, 2018",100,N/A,Unrated,Documentary
500,A Chance in the World - Premiere,112007,Fathom,"May 30, 2018",120,N/A,Unrated,Drama
501,The Negotiation,110986,CJ Entertainment,"September 21, 2018",114,N/A,Unrated,Action / Crime
502,Lu Over the Wall,109857,GKIDS,"May 11, 2018",112,N/A,PG,Animation
503,El Angel,109608,The Orchard,"November 9, 2018",115,N/A,Unrated,Crime Thriller
504,The Captain,109226,Music Box Films,"July 27, 2018",118,N/A,Unrated,War Drama
505,Mary Shelley,108900,IFC,"May 25, 2018",120,N/A,PG-13,Drama
506,In Between,107977,Film Movement,"January 5, 2018",96,N/A,Unrated,Drama
507,NT Live: Julius Caesar,107057,Fathom,"March 22, 2018",135,N/A,Unrated,Unknown
508,"Love, Cecil",106057,Zeitgeist,"June 29, 2018",98,N/A,Unrated,Documentary
509,Airpocalypse,105678,China Lion,"December 21, 2018",105,N/A,Unrated,Action / Adventure
510,Never Heard,105271,Fathom,"November 1, 2018",89,N/A,Unrated,Drama
511,Sweet Country,104297,Samuel Goldwyn,"April 6, 2018",113,N/A,R,Adventure
512,Namaste England,104079,Eros,"October 19, 2018",141,N/A,Unrated,Romantic Comedy
513,Detective K: Secret of the Living Dead,104013,Well Go USA,"February 16, 2018",120,N/A,Unrated,Crime Comedy
514,Memoir of War,103636,Music Box Films,"August 17, 2018",127,N/A,Unrated,Period Drama
515,Happy Phirr Bhag Jayegi,103385,Eros,"August 24, 2018",136,N/A,Unrated,Comedy
516,Filmworker,102609,Kino Lorber,"May 11, 2018",94,N/A,Unrated,Documentary
517,Ismael's Ghosts,102510,Magnolia,"March 23, 2018",35,N/A,R,Drama / Thriller
518,Revenge,102091,Neon,"May 11, 2018",108,N/A,R,Thriller
519,Andrei Rublev,102021,Janus Films,"August 24, 2018",183,N/A,Unrated,Drama
520,Unstoppable,101417,Well Go USA,"November 30, 2018",115,N/A,Unrated,Action / Crime
521,All About Nina,100335,The Orchard,"September 28, 2018",100,N/A,R,Comedy
522,Meow Wolf: Origin Story,99488,Fathom,"November 29, 2018",88,N/A,Unrated,Documentary
523,NT Live: Macbeth,97857,Fathom,"May 17, 2018",210,N/A,Unrated,Unknown
524,Champion,97472,Well Go USA,"May 11, 2018",108,N/A,Unrated,Sports Drama
525,GODSPEED The Race Across America,96690,Fathom,"May 22, 2018",113,N/A,Unrated,Documentary
526,Golden Slumber,94450,CJ Entertainment,"February 16, 2018",108,N/A,Unrated,Action Thriller
527,Let the Corpses Tan,93409,Kino Lorber,"August 31, 2018",92,N/A,Unrated,Thriller
528,Reign of Judges: Title of Liberty - Concept Short,93224,"Darin Southam Endeavor, Inc.","March 15, 2018",14,N/A,Unrated,Action
529,Bandstand: The Broadway Musical,91000,Fathom,"November 15, 2018",135,N/A,Unrated,Unknown
530,Madame,90979,Blue Fox Entertainment,"March 23, 2018",91,N/A,Unrated,Comedy / Drama
531,John McEnroe: In the Realm of Perfection,90964,Oscilloscope Pictures,"August 22, 2018",95,N/A,Unrated,Documentary
532,Running for Grace,89988,Blue Fox Entertainment,"July 20, 2018",110,N/A,Unrated,Romance
533,NT Live: Cat on a Hot Tin Roof,89332,Fathom,"February 22, 2018",185,N/A,Unrated,Unknown
534,The Third Murder,89315,Film Movement,"July 20, 2018",124,N/A,Unrated,Thriller
535,Bolshoi Ballet: Swan Lake,88905,Fathom,"July 23, 2018",180,N/A,Unrated,Unknown
536,The House That Jack Built,87993,IFC,"December 14, 2018",152,N/A,R,Drama / Thriller
537,Goldstone,87639,Lightyear Entertainment,"March 2, 2018",110,N/A,R,Crime Thriller
538,The Price of Everything,87400,HBO,"October 19, 2018",98,N/A,Unrated,Documentary
539,Lobster Cop,85693,China Lion,"June 22, 2018",94,N/A,Unrated,Comedy Thriller
540,Big Brother,85624,Well Go USA,"August 31, 2018",101,N/A,Unrated,Action Comedy
541,How to Talk to Girls at Parties,84809,A24,"May 25, 2018",102,N/A,R,Comedy / Drama
542,Custody,83882,Kino Lorber,"June 29, 2018",93,N/A,Unrated,Drama
543,NT Live: Antony & Cleopatra,83672,Fathom,"December 6, 2018",220,N/A,Unrated,Unknown
544,Claire's Camera,83418,Cinema Guild,"March 9, 2018",69,N/A,Unrated,Comedy / Drama
545,Blood Fest,82774,Fathom,"August 14, 2018",93,N/A,Unrated,Horror Comedy
546,Doctor Who: New Season Premiere,82698,Fathom,"October 10, 2018",90,N/A,Unrated,Sci-Fi
547,Godard Mon Amour,82264,Cohen Media Group,"April 20, 2018",107,N/A,R,Comedy / Drama
548,Yuri!!! on ICE Binge,81878,Fathom,"October 13, 2018",260,N/A,Unrated,Unknown
549,Nancy,80115,Samuel Goldwyn,"June 8, 2018",87,N/A,Unrated,Drama / Thriller
550,En el Septimo Dia,79887,Cinema Guild,"June 8, 2018",92,N/A,Unrated,Comedy / Drama
551,Have a Nice Day,79393,Strand,"January 26, 2018",77,N/A,Unrated,Animation
552,The Princess and the Matchmaker,78900,CJ Entertainment,"March 9, 2018",110,N/A,Unrated,Romantic Comedy
553,The Boxcar Children: Surprise Island,78676,Fathom,"May 8, 2018",81,N/A,Unrated,Animation
554,Just a Breath Away,77987,Entertainment One,"August 10, 2018",89,N/A,Unrated,Sci-Fi
555,Shock & Awe,77980,Vertical Entertainment,"July 13, 2018",91,N/A,R,Drama
556,93Queen,76056,Abramorama,"July 25, 2018",81,N/A,Unrated,Documentary
557,Mukkabaaz,75929,Eros,"January 12, 2018",154,N/A,Unrated,Sports Action
558,The Riot Act,75506,Hannover House,"September 14, 2018",91,N/A,PG-13,Thriller
559,Keys to the Heart,75134,CJ Entertainment,"January 26, 2018",120,N/A,Unrated,Comedy / Drama
560,Tehran Taboo,74758,Kino Lorber,"February 14, 2018",96,N/A,Unrated,Animation
561,Above and Beyond: NASA's Journey to Tomorrow,74711,Fathom,"September 29, 2018",90,N/A,Unrated,Unknown
562,After Auschwitz,73885,Passion River,"April 14, 2018",83,N/A,Unrated,Documentary
563,Bye Bye Germany,73730,Film Movement,"April 13, 2018",102,N/A,Unrated,Comedy
564,The Last Suit,73548,Outsider Films,"March 23, 2018",92,N/A,Unrated,Drama
565,"Nico, 1988",73304,Magnolia,"August 1, 2018",93,N/A,R,Drama
566,Helicopter Eela,71971,Eros,"October 12, 2018",135,N/A,Unrated,Drama
567,Namiya,70814,China Lion,"January 5, 2018",116,N/A,Unrated,Drama
568,The Fog,70421,Rialto,"October 26, 2018",89,N/A,Unrated,Horror
569,Wastelander,70045,Indican,"January 12, 2018",90,N/A,Unrated,Action
570,Parchi,69431,Atlas Distribution,"January 12, 2018",137,N/A,Unrated,Action Comedy
571,Outside In,68492,The Orchard,"March 30, 2018",109,N/A,Unrated,Drama
572,Chef Flynn,68407,Kino Lorber,"November 9, 2018",82,N/A,Unrated,Documentary
573,Where Hands Touch,67743,Vertical Entertainment,"September 14, 2018",121,N/A,PG-13,Drama
574,Under the Tree,67596,Magnolia,"July 6, 2018",89,N/A,Unrated,Comedy
575,Making the Five Heartbeats,67415,Fathom,"August 27, 2018",85,N/A,PG-13,Documentary
576,The Doctor from India,67136,Zeitgeist,"April 20, 2018",89,N/A,Unrated,Documentary
577,3100: Run and Become,65524,Illumine Films,"August 17, 2018",79,N/A,Unrated,Documentary
578,Beuys,65410,Kino Lorber,"January 17, 2018",107,N/A,Unrated,Documentary
579,Feng Shui,64147,CJ Entertainment,"September 21, 2018",133,N/A,Unrated,Drama
580,"Monrovia, Indiana",63944,Zipporah Films,"October 26, 2018",141,N/A,Unrated,Documentary
581,Liz and the Blue Bird,63204,Eleven Arts,"November 2, 2018",90,N/A,Unrated,Animation
582,The Gardener,62734,Gravitas Ventures,"March 30, 2018",84,N/A,Unrated,Documentary
583,Never Goin' Back,61271,A24,"August 3, 2018",86,N/A,R,Comedy
584,Viper Club,60607,Roadside Attractions,"October 26, 2018",109,N/A,R,Drama
585,Where is Kyra?,59717,Great Point,"April 6, 2018",98,N/A,R,Drama
586,Bomb City,59329,Gravitas Ventures,"February 9, 2018",95,N/A,Unrated,Action / Crime
587,Digimon Adventure Tri. 4: Loss,59114,Fathom,"February 1, 2018",82,N/A,Unrated,Animation
588,"Westwood: Punk, Icon, Activist",58979,Greenwich,"June 8, 2018",83,N/A,Unrated,Documentary
589,Horn From the Heart,58597,Abramorama,"October 17, 2018",104,N/A,Unrated,Documentary
590,A Kid Like Jake,58403,IFC,"June 1, 2018",92,N/A,R,Drama
591,Cynthia,58177,Indican,"August 31, 2018",89,N/A,Unrated,Horror Comedy
592,In Search of Greatness,58090,Art of Sport,"November 2, 2018",80,N/A,PG-13,Documentary
593,Black '47,57520,IFC,"September 28, 2018",100,N/A,R,Action Drama
594,Bhavesh Joshi Superhero,57376,Eros,"June 1, 2018",154,N/A,Unrated,Action Drama
595,Ramen Heads,57345,FilmBuff,"March 16, 2018",93,N/A,Unrated,Documentary
596,Django,56556,Under the Milky Way,"January 5, 2018",117,N/A,Unrated,Drama
